                  Temp     Hi    Low   Out    Dew  Wind  Wind   Wind    Hi    Hi   Wind   Heat    THW                Rain    Heat    Cool    In     In    In     In     In   In Air  Wind  Wind    ISS   Arc.
  Date    Time     Out   Temp   Temp   Hum    Pt. Speed   Dir    Run Speed   Dir  Chill  Index  Index   Bar    Rain  Rate    D-D     D-D    Temp   Hum    Dew   Heat    EMC Density  Samp   Tx   Recept  Int.
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 8/20/17 12:05a   69.5   69.7   69.3    34   39.9   4.0   WSW   0.33   7.0   WSW   69.5   66.3   66.3   838.6  0.00  0.00   0.000   0.016   69.6    42   45.5   67.2   8.06  .9818    115    1    100.0    5 
 8/20/17 12:10a   69.8   69.9   69.7    35   40.9   4.0   SSW   0.33   8.0     W   69.8   66.7   66.7   838.6  0.00  0.00   0.000   0.017   69.3    42   45.2   67.0   8.06  .9825    117    1    100.0    5 
 8/20/17 12:15a   69.9   70.0   69.8    34   40.2   7.0    SW   0.58  14.0   WSW   69.9   66.7   66.7   838.6  0.00  0.00   0.000   0.017   69.1    43   45.7   67.0   8.25  .9827    117    1    100.0    5 
 8/20/17 12:20a   70.2   70.3   70.0    34   40.5   5.0   WSW   0.42   8.0   WSW   70.2   67.1   67.1   838.6  0.00  0.00   0.000   0.018   68.9    43   45.5   66.8   8.25  .9831    117    1    100.0    5 
 8/20/17 12:25a   70.4   70.5   70.3    32   39.1   5.0   WSW   0.42   9.0     W   70.4   67.1   67.1   838.5  0.00  0.00   0.000   0.019   68.8    43   45.4   66.7   8.25  .9832    116    1    100.0    5 
 8/20/17 12:30a   70.4   70.5   70.3    33   39.9   5.0   WSW   0.42   8.0   WSW   70.4   67.2   67.2   838.5  0.00  0.00   0.000   0.019   68.7    43   45.3   66.6   8.25  .9834    116    1    100.0    5 
 8/20/17 12:35a   70.2   70.3   70.1    31   38.1   4.0     W   0.33   7.0   WSW   70.2   66.8   66.8   838.5  0.00  0.00   0.000   0.018   68.5    43   45.1   66.4   8.25  .9839    117    1    100.0    5 
 8/20/17 12:40a   70.2   70.3   70.1    30   37.3   4.0     W   0.33   8.0     W   70.2   66.7   66.7   838.5  0.00  0.00   0.000   0.018   68.4    43   45.0   66.3   8.25  .9841    117    1    100.0    5 
 8/20/17 12:45a   70.6   70.8   70.3    29   36.8   5.0     W   0.42  10.0     W   70.6   67.1   67.1   838.4  0.00  0.00   0.000   0.019   68.3    43   44.9   66.2   8.25  .9843    117    1    100.0    5 
 8/20/17 12:50a   71.1   71.3   70.8    28   36.3   7.0   WSW   0.58  12.0   WSW   71.1   67.7   67.7   838.4  0.00  0.00   0.000   0.021   68.2    43   44.8   66.1   8.25  .9845    114    1    100.0    5 
 8/20/17 12:55a   71.5   71.6   71.4    28   36.7   6.0   WSW   0.50  11.0     W   71.5   68.2   68.2   838.3  0.00  0.00   0.000   0.023   68.0    42   44.0   65.8   8.09  .9851    114    1    100.0    5 
 8/20/17  1:00a   71.8   72.0   71.6    28   36.9   7.0     W   0.58  13.0     W   71.8   68.6   68.6   838.3  0.00  0.00   0.000   0.024   68.0    42   44.0   65.8   8.09  .9851    114    1    100.0    5 
 8/20/17  1:05a   72.2   72.4   72.0    27   36.3   7.0     W   0.58  11.0    NW   72.2   69.1   69.1   838.2  0.00  0.00   0.000   0.025   68.0    42   44.0   65.8   8.09  .9850    114    1    100.0    5 
